Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas5187     Pavarde5187    4    8    2    5    6    10      
Vardas5188     Pavarde5188    7    8    8    5    2    5       
Vardas5189     Pavarde5189    8    7    3    6    1    10      
Vardas5190     Pavarde5190    10   7    9    8    2    3       
Vardas5191     Pavarde5191    9    6    1    9    1    6       
Vardas5192     Pavarde5192    7    8    4    9    6    5       
Vardas5193     Pavarde5193    9    6    8    10   9    1       
Vardas5194     Pavarde5194    5    1    8    3    7    2       
Vardas5195     Pavarde5195    10   9    2    2    1    3       
Vardas5196     Pavarde5196    9    6    7    5    1    1       
Vardas5197     Pavarde5197    7    4    7    10   4    4       
Vardas5198     Pavarde5198    1    2    2    2    9    1       
Vardas5199     Pavarde5199    8    3    10   9    9    7       
Vardas5200     Pavarde5200    9    2    2    8    1    9       
Vardas5201     Pavarde5201    3    7    6    3    2    10      
Vardas5202     Pavarde5202    1    6    1    8    6    9       
Vardas5203     Pavarde5203    8    1    8    3    7    1       
Vardas5204     Pavarde5204    2    7    5    1    1    3       
Vardas5205     Pavarde5205    5    2    5    10   6    5       
Vardas5206     Pavarde5206    4    4    7    4    2    7       
Vardas5207     Pavarde5207    9    9    10   3    8    4       
Vardas5208     Pavarde5208    6    6    7    1    7    3       
Vardas5209     Pavarde5209    7    6    1    9    9    1       
Vardas5210     Pavarde5210    6    9    8    1    3    8       
Vardas5211     Pavarde5211    6    2    9    4    10   2       
Vardas5212     Pavarde5212    2    4    6    6    4    7       
Vardas5213     Pavarde5213    3    1    4    9    9    8       
Vardas5214     Pavarde5214    10   3    5    9    3    2       
Vardas5215     Pavarde5215    1    7    10   6    7    4       
Vardas5216     Pavarde5216    1    3    9    8    10   10      
Vardas5217     Pavarde5217    1    8    6    9    6    7       
Vardas5218     Pavarde5218    3    1    2    5    6    9       
Vardas5219     Pavarde5219    3    7    7    3    9    3       
Vardas5220     Pavarde5220    6    4    8    7    4    4       
Vardas5221     Pavarde5221    3    2    3    7    1    5       
Vardas5222     Pavarde5222    2    5    9    10   4    6       
Vardas5223     Pavarde5223    10   4    1    2    2    5       
Vardas5224     Pavarde5224    6    5    2    2    1    7       
Vardas5225     Pavarde5225    1    8    9    5    4    1       
Vardas5226     Pavarde5226    3    8    5    9    5    3       
Vardas5227     Pavarde5227    3    10   6    3    8    8       
Vardas5228     Pavarde5228    10   4    8    9    2    2       
Vardas5229     Pavarde5229    2    9    9    10   1    4       
Vardas5230     Pavarde5230    3    3    6    8    6    2       
Vardas5231     Pavarde5231    3    9    10   9    3    1       
Vardas5232     Pavarde5232    1    2    10   8    6    1       
Vardas5233     Pavarde5233    8    6    5    4    7    6       
Vardas5234     Pavarde5234    6    10   2    7    5    7       
Vardas5235     Pavarde5235    4    7    5    7    9    5       
Vardas5236     Pavarde5236    7    9    10   1    8    10      
Vardas5237     Pavarde5237    3    4    1    2    10   3       
Vardas5238     Pavarde5238    2    2    5    6    10   7       
Vardas5239     Pavarde5239    9    7    3    10   3    6       
Vardas5240     Pavarde5240    10   10   7    9    3    2       
Vardas5241     Pavarde5241    9    3    3    7    8    6       
Vardas5242     Pavarde5242    2    10   6    8    3    9       
Vardas5243     Pavarde5243    8    1    10   3    3    2       
Vardas5244     Pavarde5244    1    4    1    7    1    9       
Vardas5245     Pavarde5245    4    7    9    8    9    5       
Vardas5246     Pavarde5246    7    2    1    8    10   7       
Vardas5247     Pavarde5247    5    4    5    9    9    3       
Vardas5248     Pavarde5248    10   3    1    5    10   3       
Vardas5249     Pavarde5249    10   2    10   1    10   4       
Vardas5250     Pavarde5250    10   9    1    6    9    2       
Vardas5251     Pavarde5251    1    4    10   8    7    7       
Vardas5252     Pavarde5252    4    8    8    4    2    6       
Vardas5253     Pavarde5253    5    2    9    6    1    4       
Vardas5254     Pavarde5254    9    9    7    7    6    7       
Vardas5255     Pavarde5255    8    8    2    7    7    2       
Vardas5256     Pavarde5256    10   3    6    10   7    3       
Vardas5257     Pavarde5257    3    10   5    1    6    3       
Vardas5258     Pavarde5258    9    7    6    5    2    3       
Vardas5259     Pavarde5259    7    6    6    6    1    3       
Vardas5260     Pavarde5260    3    4    6    3    10   8       
Vardas5261     Pavarde5261    7    1    8    8    10   8       
Vardas5262     Pavarde5262    4    10   6    6    10   5       
Vardas5263     Pavarde5263    1    4    2    1    6    7       
Vardas5264     Pavarde5264    7    4    10   10   1    2       
Vardas5265     Pavarde5265    5    2    5    2    5    7       
Vardas5266     Pavarde5266    3    2    9    9    5    6       
Vardas5267     Pavarde5267    8    10   1    4    3    10      
Vardas5268     Pavarde5268    6    5    10   4    5    2       
Vardas5269     Pavarde5269    7    7    9    6    4    2       
Vardas5270     Pavarde5270    2    8    3    10   10   2       
Vardas5271     Pavarde5271    9    3    5    2    9    2       
Vardas5272     Pavarde5272    5    2    5    4    4    6       
Vardas5273     Pavarde5273    4    2    5    9    10   9       
Vardas5274     Pavarde5274    3    5    9    9    6    9       
Vardas5275     Pavarde5275    3    10   9    9    5    7       
Vardas5276     Pavarde5276    3    3    5    6    2    2       
Vardas5277     Pavarde5277    6    8    9    3    1    10      
Vardas5278     Pavarde5278    1    5    8    2    1    2       
Vardas5279     Pavarde5279    3    4    3    5    4    9       
Vardas5280     Pavarde5280    4    1    10   4    3    6       
Vardas5281     Pavarde5281    6    3    1    9    2    6       
Vardas5282     Pavarde5282    3    5    3    9    6    4       
Vardas5283     Pavarde5283    2    6    3    7    6    2       
Vardas5284     Pavarde5284    10   10   2    4    3    4       
Vardas5285     Pavarde5285    4    2    7    9    4    6       
Vardas5286     Pavarde5286    3    2    7    4    2    10      
Vardas5287     Pavarde5287    4    4    10   5    7    5       
Vardas5288     Pavarde5288    6    9    1    2    7    7       
Vardas5289     Pavarde5289    10   4    5    5    4    5       
Vardas5290     Pavarde5290    7    3    7    1    6    10      
Vardas5291     Pavarde5291    2    8    1    6    7    8       
Vardas5292     Pavarde5292    2    1    8    6    5    3       
Vardas5293     Pavarde5293    10   4    7    7    9    8       
Vardas5294     Pavarde5294    9    9    3    7    1    8       
Vardas5295     Pavarde5295    5    10   7    4    1    4       
Vardas5296     Pavarde5296    6    6    8    8    9    9       
Vardas5297     Pavarde5297    8    9    1    3    6    8       
Vardas5298     Pavarde5298    2    10   10   2    3    7       
Vardas5299     Pavarde5299    7    10   5    10   9    3       
Vardas5300     Pavarde5300    4    6    3    7    6    6       
Vardas5301     Pavarde5301    9    4    5    3    7    7       
Vardas5302     Pavarde5302    5    9    3    8    2    8       
Vardas5303     Pavarde5303    6    2    8    4    5    6       
Vardas5304     Pavarde5304    1    4    7    9    2    2       
Vardas5305     Pavarde5305    9    4    8    5    9    10      
Vardas5306     Pavarde5306    1    1    8    7    3    4       
Vardas5307     Pavarde5307    6    7    4    3    5    7       
Vardas5308     Pavarde5308    9    9    10   6    4    6       
Vardas5309     Pavarde5309    6    6    4    1    9    3       
Vardas5310     Pavarde5310    6    7    10   5    3    5       
Vardas5311     Pavarde5311    4    2    7    4    3    5       
Vardas5312     Pavarde5312    8    3    9    3    6    9       
Vardas5313     Pavarde5313    10   4    6    7    5    6       
Vardas5314     Pavarde5314    6    10   1    8    10   5       
Vardas5315     Pavarde5315    3    9    5    5    8    2       
Vardas5316     Pavarde5316    10   9    5    1    3    6       
Vardas5317     Pavarde5317    4    8    7    7    9    2       
Vardas5318     Pavarde5318    3    10   3    3    4    5       
Vardas5319     Pavarde5319    7    2    4    7    8    4       
Vardas5320     Pavarde5320    3    9    9    8    6    1       
Vardas5321     Pavarde5321    10   5    9    1    6    8       
Vardas5322     Pavarde5322    6    8    7    6    9    9       
Vardas5323     Pavarde5323    10   2    8    6    10   6       
Vardas5324     Pavarde5324    10   10   4    3    8    1       
Vardas5325     Pavarde5325    8    8    5    5    5    6       
Vardas5326     Pavarde5326    7    9    5    2    4    2       
Vardas5327     Pavarde5327    7    9    9    9    9    3       
Vardas5328     Pavarde5328    6    8    5    9    4    4       
Vardas5329     Pavarde5329    1    3    8    6    7    1       
Vardas5330     Pavarde5330    1    5    5    6    7    2       
Vardas5331     Pavarde5331    9    1    3    7    3    2       
Vardas5332     Pavarde5332    4    2    4    9    5    5       
Vardas5333     Pavarde5333    7    5    6    1    5    8       
Vardas5334     Pavarde5334    5    5    3    4    4    3       
Vardas5335     Pavarde5335    5    9    10   8    2    8       
Vardas5336     Pavarde5336    1    4    3    4    8    9       
Vardas5337     Pavarde5337    10   9    6    3    9    2       
Vardas5338     Pavarde5338    3    5    4    8    9    7       
Vardas5339     Pavarde5339    4    4    3    5    2    2       
Vardas5340     Pavarde5340    9    8    10   6    1    7       
Vardas5341     Pavarde5341    8    9    1    8    7    10      
Vardas5342     Pavarde5342    6    4    10   9    8    5       
Vardas5343     Pavarde5343    8    10   1    5    2    3       
Vardas5344     Pavarde5344    4    3    10   9    3    5       
Vardas5345     Pavarde5345    4    3    3    1    5    2       
Vardas5346     Pavarde5346    4    9    5    1    8    4       
Vardas5347     Pavarde5347    2    7    8    3    2    7       
Vardas5348     Pavarde5348    8    4    7    1    1    4       
Vardas5349     Pavarde5349    3    4    7    5    6    4       
Vardas5350     Pavarde5350    9    9    5    5    8    9       
Vardas5351     Pavarde5351    5    3    1    1    6    2       
Vardas5352     Pavarde5352    7    10   7    6    2    9       
Vardas5353     Pavarde5353    10   7    6    9    8    7       
Vardas5354     Pavarde5354    5    6    7    7    2    4       
Vardas5355     Pavarde5355    3    7    5    4    6    2       
Vardas5356     Pavarde5356    2    5    10   10   3    8       
Vardas5357     Pavarde5357    10   6    2    10   5    1       
Vardas5358     Pavarde5358    10   5    2    1    7    3       
Vardas5359     Pavarde5359    1    1    2    8    2    4       
Vardas5360     Pavarde5360    6    6    10   4    5    8       
Vardas5361     Pavarde5361    8    6    2    8    3    2       
Vardas5362     Pavarde5362    10   6    4    3    5    3       
Vardas5363     Pavarde5363    6    10   9    5    5    7       
Vardas5364     Pavarde5364    2    7    8    8    1    1       
Vardas5365     Pavarde5365    10   9    5    7    4    9       
Vardas5366     Pavarde5366    4    10   9    9    3    1       
Vardas5367     Pavarde5367    1    7    2    4    10   3       
Vardas5368     Pavarde5368    1    3    6    1    1    9       
Vardas5369     Pavarde5369    4    1    10   3    9    2       
Vardas5370     Pavarde5370    8    1    7    8    6    2       
Vardas5371     Pavarde5371    7    8    2    5    4    1       
Vardas5372     Pavarde5372    3    5    6    2    2    9       
Vardas5373     Pavarde5373    6    8    6    10   10   4       
Vardas5374     Pavarde5374    6    10   7    2    2    4       
Vardas5375     Pavarde5375    6    4    3    7    5    7       
Vardas5376     Pavarde5376    7    10   5    1    7    8       
Vardas5377     Pavarde5377    8    8    8    3    2    1       
Vardas5378     Pavarde5378    3    10   9    2    2    4       
Vardas5379     Pavarde5379    5    1    5    6    10   5       
Vardas5380     Pavarde5380    8    3    4    10   8    1       
Vardas5381     Pavarde5381    8    9    6    3    5    6       
Vardas5382     Pavarde5382    9    6    1    6    8    3       
Vardas5383     Pavarde5383    2    4    7    8    10   2       
Vardas5384     Pavarde5384    9    10   6    5    8    8       
Vardas5385     Pavarde5385    6    2    6    1    6    4       
Vardas5386     Pavarde5386    4    2    3    2    8    5       
Vardas5387     Pavarde5387    8    6    6    9    2    4       
Vardas5388     Pavarde5388    8    4    3    9    4    2       
Vardas5389     Pavarde5389    9    8    6    4    1    8       
Vardas5390     Pavarde5390    8    5    4    4    5    1       
Vardas5391     Pavarde5391    1    4    7    4    3    10      
Vardas5392     Pavarde5392    5    3    7    3    3    2       
Vardas5393     Pavarde5393    9    6    10   5    2    6       
Vardas5394     Pavarde5394    2    3    9    5    4    2       
Vardas5395     Pavarde5395    5    7    7    10   7    7       
Vardas5396     Pavarde5396    2    3    9    10   9    8       
Vardas5397     Pavarde5397    7    3    2    3    4    10      
Vardas5398     Pavarde5398    5    7    7    6    8    1       
Vardas5399     Pavarde5399    4    7    9    6    3    8       
Vardas5400     Pavarde5400    5    10   3    3    5    2       
Vardas5401     Pavarde5401    4    9    3    4    8    2       
Vardas5402     Pavarde5402    1    7    3    1    9    2       
Vardas5403     Pavarde5403    5    6    3    4    9    6       
Vardas5404     Pavarde5404    2    9    9    8    1    1       
Vardas5405     Pavarde5405    9    1    1    7    9    10      
Vardas5406     Pavarde5406    7    9    5    2    2    2       
Vardas5407     Pavarde5407    9    1    8    4    7    8       
Vardas5408     Pavarde5408    8    7    8    3    1    2       
Vardas5409     Pavarde5409    3    8    6    4    7    2       
Vardas5410     Pavarde5410    2    7    8    4    2    7       
Vardas5411     Pavarde5411    8    4    3    10   8    2       
Vardas5412     Pavarde5412    8    5    7    3    6    8       
Vardas5413     Pavarde5413    4    4    2    9    7    7       
Vardas5414     Pavarde5414    9    2    10   10   3    9       
Vardas5415     Pavarde5415    7    7    6    8    9    6       
Vardas5416     Pavarde5416    1    5    10   3    8    1       
Vardas5417     Pavarde5417    6    5    7    8    2    1       
Vardas5418     Pavarde5418    7    9    7    9    7    5       
Vardas5419     Pavarde5419    10   3    2    1    5    6       
Vardas5420     Pavarde5420    6    9    4    1    9    2       
Vardas5421     Pavarde5421    10   7    2    5    3    5       
Vardas5422     Pavarde5422    4    5    4    8    9    8       
Vardas5423     Pavarde5423    7    4    8    4    1    5       
Vardas5424     Pavarde5424    9    2    8    6    4    6       
Vardas5425     Pavarde5425    2    5    4    6    2    4       
Vardas5426     Pavarde5426    3    6    10   8    3    2       
Vardas5427     Pavarde5427    4    1    7    2    9    9       
Vardas5428     Pavarde5428    7    8    5    6    1    1       
Vardas5429     Pavarde5429    7    5    1    9    2    8       
Vardas5430     Pavarde5430    1    1    3    7    9    1       
Vardas5431     Pavarde5431    2    10   5    7    8    9       
Vardas5432     Pavarde5432    3    1    1    1    8    5       
Vardas5433     Pavarde5433    1    1    5    1    6    3       
Vardas5434     Pavarde5434    4    9    9    1    2    2       
Vardas5435     Pavarde5435    1    6    10   4    5    4       
Vardas5436     Pavarde5436    9    4    1    9    8    1       
Vardas5437     Pavarde5437    10   7    9    3    10   1       
Vardas5438     Pavarde5438    3    3    6    7    7    3       
Vardas5439     Pavarde5439    5    2    1    10   9    4       
Vardas5440     Pavarde5440    5    10   9    6    5    8       
Vardas5441     Pavarde5441    2    8    8    5    9    7       
Vardas5442     Pavarde5442    2    5    10   6    9    1       
Vardas5443     Pavarde5443    3    4    6    2    10   5       
Vardas5444     Pavarde5444    4    8    3    6    7    3       
Vardas5445     Pavarde5445    8    9    6    4    1    8       
Vardas5446     Pavarde5446    9    7    10   5    5    9       
Vardas5447     Pavarde5447    7    1    9    1    1    2       
Vardas5448     Pavarde5448    5    4    1    10   2    2       
Vardas5449     Pavarde5449    9    7    2    5    8    3       
Vardas5450     Pavarde5450    1    9    7    7    3    1       
Vardas5451     Pavarde5451    9    10   10   4    9    9       
Vardas5452     Pavarde5452    3    9    10   6    8    4       
Vardas5453     Pavarde5453    4    5    4    3    7    5       
Vardas5454     Pavarde5454    8    2    7    7    2    8       
Vardas5455     Pavarde5455    5    6    9    2    8    5       
Vardas5456     Pavarde5456    2    6    2    4    2    8       
Vardas5457     Pavarde5457    6    10   4    9    8    6       
Vardas5458     Pavarde5458    3    6    6    7    6    6       
Vardas5459     Pavarde5459    3    9    7    4    8    3       
Vardas5460     Pavarde5460    4    8    2    3    5    3       
Vardas5461     Pavarde5461    9    3    1    8    7    2       
Vardas5462     Pavarde5462    10   3    3    6    10   6       
Vardas5463     Pavarde5463    7    8    4    8    2    3       
Vardas5464     Pavarde5464    1    2    4    3    5    5       
Vardas5465     Pavarde5465    10   6    10   10   6    6       
Vardas5466     Pavarde5466    9    2    9    8    9    10      
Vardas5467     Pavarde5467    10   2    2    3    3    7       
Vardas5468     Pavarde5468    3    10   4    8    9    1       
Vardas5469     Pavarde5469    4    5    1    8    5    1       
Vardas5470     Pavarde5470    8    8    3    6    5    5       
Vardas5471     Pavarde5471    10   3    8    2    10   9       
Vardas5472     Pavarde5472    10   7    4    6    1    3       
Vardas5473     Pavarde5473    1    6    8    2    4    6       
Vardas5474     Pavarde5474    1    5    4    2    1    9       
Vardas5475     Pavarde5475    4    5    4    8    10   7       
Vardas5476     Pavarde5476    5    4    10   8    10   1       
Vardas5477     Pavarde5477    8    4    6    10   9    5       
Vardas5478     Pavarde5478    9    5    10   9    4    10      
Vardas5479     Pavarde5479    8    2    1    6    3    1       
Vardas5480     Pavarde5480    8    10   8    6    9    6       
Vardas5481     Pavarde5481    8    5    8    7    3    3       
Vardas5482     Pavarde5482    1    6    9    10   3    5       
Vardas5483     Pavarde5483    2    7    6    10   10   8       
Vardas5484     Pavarde5484    9    7    3    10   7    7       
Vardas5485     Pavarde5485    6    2    8    8    5    6       
Vardas5486     Pavarde5486    10   3    4    6    5    3       
Vardas5487     Pavarde5487    8    6    10   6    6    9       
Vardas5488     Pavarde5488    10   1    2    4    5    1       
Vardas5489     Pavarde5489    9    3    3    4    7    1       
Vardas5490     Pavarde5490    7    10   7    5    7    2       
Vardas5491     Pavarde5491    10   9    6    10   2    6       
Vardas5492     Pavarde5492    7    8    3    1    8    6       
Vardas5493     Pavarde5493    2    3    7    7    3    6       
Vardas5494     Pavarde5494    10   5    10   2    4    10      
Vardas5495     Pavarde5495    6    3    3    4    1    6       
Vardas5496     Pavarde5496    3    10   10   3    2    6       
Vardas5497     Pavarde5497    4    7    8    5    8    1       
Vardas5498     Pavarde5498    3    3    3    3    4    4       
Vardas5499     Pavarde5499    6    3    1    5    8    1       
Vardas5500     Pavarde5500    4    6    3    1    8    10      
Vardas5501     Pavarde5501    5    5    1    5    9    2       
Vardas5502     Pavarde5502    7    9    7    7    10   2       
Vardas5503     Pavarde5503    1    2    3    9    7    7       
Vardas5504     Pavarde5504    8    1    2    1    3    4       
Vardas5505     Pavarde5505    6    8    10   10   7    6       
Vardas5506     Pavarde5506    7    7    9    1    1    5       
Vardas5507     Pavarde5507    2    7    1    8    4    10      
Vardas5508     Pavarde5508    3    10   4    7    9    1       
Vardas5509     Pavarde5509    8    10   10   3    5    6       
Vardas5510     Pavarde5510    2    3    8    4    3    9       
Vardas5511     Pavarde5511    6    4    6    4    7    10      
Vardas5512     Pavarde5512    7    6    8    7    10   8       
Vardas5513     Pavarde5513    3    1    3    2    7    1       
Vardas5514     Pavarde5514    9    7    9    10   2    9       
Vardas5515     Pavarde5515    6    1    6    3    5    3       
Vardas5516     Pavarde5516    1    7    9    3    9    6       
Vardas5517     Pavarde5517    6    1    10   9    1    6       
Vardas5518     Pavarde5518    4    4    5    4    1    2       
Vardas5519     Pavarde5519    8    9    7    2    8    8       
Vardas5520     Pavarde5520    4    3    4    2    4    8       
Vardas5521     Pavarde5521    10   3    10   4    7    7       
Vardas5522     Pavarde5522    4    10   5    6    8    7       
Vardas5523     Pavarde5523    3    5    4    3    5    6       
Vardas5524     Pavarde5524    8    9    5    4    1    6       
Vardas5525     Pavarde5525    5    6    5    2    1    3       
Vardas5526     Pavarde5526    8    1    5    10   7    9       
Vardas5527     Pavarde5527    2    10   2    3    5    6       
Vardas5528     Pavarde5528    8    2    3    2    5    8       
Vardas5529     Pavarde5529    6    8    4    7    2    8       
Vardas5530     Pavarde5530    2    8    5    4    9    7       
Vardas5531     Pavarde5531    7    6    3    6    10   4       
Vardas5532     Pavarde5532    6    9    5    3    5    9       
Vardas5533     Pavarde5533    1    3    1    6    4    1       
Vardas5534     Pavarde5534    3    10   10   8    7    5       
Vardas5535     Pavarde5535    8    8    3    9    3    10      
Vardas5536     Pavarde5536    6    1    7    9    7    7       
Vardas5537     Pavarde5537    4    5    3    8    3    6       
Vardas5538     Pavarde5538    1    7    9    8    6    6       
Vardas5539     Pavarde5539    3    2    2    5    5    10      
Vardas5540     Pavarde5540    5    7    6    7    2    5       
Vardas5541     Pavarde5541    5    6    9    7    6    2       
Vardas5542     Pavarde5542    10   1    2    9    9    2       
Vardas5543     Pavarde5543    10   4    7    4    9    1       
Vardas5544     Pavarde5544    9    6    1    3    9    8       
Vardas5545     Pavarde5545    2    7    9    4    3    5       
Vardas5546     Pavarde5546    5    1    7    5    8    6       
Vardas5547     Pavarde5547    9    3    1    5    1    8       
Vardas5548     Pavarde5548    8    6    10   5    10   9       
Vardas5549     Pavarde5549    8    3    4    7    4    8       
Vardas5550     Pavarde5550    10   3    2    2    8    3       
Vardas5551     Pavarde5551    9    1    2    7    2    10      
Vardas5552     Pavarde5552    9    5    3    10   6    3       
Vardas5553     Pavarde5553    5    9    8    10   4    6       
Vardas5554     Pavarde5554    6    7    9    4    9    9       
Vardas5555     Pavarde5555    4    9    7    10   10   5       
Vardas5556     Pavarde5556    6    1    5    5    4    6       
Vardas5557     Pavarde5557    8    7    1    9    6    5       
Vardas5558     Pavarde5558    1    7    10   8    8    1       
Vardas5559     Pavarde5559    9    7    7    1    1    9       
Vardas5560     Pavarde5560    6    10   6    1    2    4       
Vardas5561     Pavarde5561    4    1    7    3    7    9       
Vardas5562     Pavarde5562    7    4    3    5    10   9       
Vardas5563     Pavarde5563    4    5    3    10   8    4       
Vardas5564     Pavarde5564    3    5    4    6    5    6       
Vardas5565     Pavarde5565    4    4    5    6    7    8       
Vardas5566     Pavarde5566    8    6    7    10   9    7       
Vardas5567     Pavarde5567    2    9    3    10   1    8       
Vardas5568     Pavarde5568    8    9    2    6    7    6       
Vardas5569     Pavarde5569    10   10   7    4    4    8       
Vardas5570     Pavarde5570    2    3    4    1    8    5       
Vardas5571     Pavarde5571    5    10   6    8    9    4       
Vardas5572     Pavarde5572    5    10   3    10   3    1       
Vardas5573     Pavarde5573    7    4    8    10   9    2       
Vardas5574     Pavarde5574    2    2    1    4    4    9       
Vardas5575     Pavarde5575    5    5    4    6    9    8       
Vardas5576     Pavarde5576    3    6    7    3    6    6       
Vardas5577     Pavarde5577    1    7    5    4    10   6       
Vardas5578     Pavarde5578    2    6    2    7    7    1       
Vardas5579     Pavarde5579    7    3    5    3    8    4       
Vardas5580     Pavarde5580    8    1    3    10   3    4       
Vardas5581     Pavarde5581    7    1    6    8    4    3       
Vardas5582     Pavarde5582    6    7    10   3    5    2       
Vardas5583     Pavarde5583    2    8    8    6    2    9       
Vardas5584     Pavarde5584    7    3    1    5    5    2       
Vardas5585     Pavarde5585    6    1    2    8    3    7       
Vardas5586     Pavarde5586    5    9    10   4    6    4       
Vardas5587     Pavarde5587    8    6    4    3    8    6       
Vardas5588     Pavarde5588    10   6    7    9    9    9       
Vardas5589     Pavarde5589    8    7    2    1    6    4       
Vardas5590     Pavarde5590    9    2    3    4    2    4       
Vardas5591     Pavarde5591    2    7    4    9    7    1       
Vardas5592     Pavarde5592    8    6    6    10   7    7       
Vardas5593     Pavarde5593    10   7    2    3    6    5       
Vardas5594     Pavarde5594    4    6    3    3    2    8       
Vardas5595     Pavarde5595    4    6    4    6    1    1       
Vardas5596     Pavarde5596    4    4    2    6    4    1       
Vardas5597     Pavarde5597    3    1    3    9    7    10      
Vardas5598     Pavarde5598    6    9    4    10   2    6       
Vardas5599     Pavarde5599    6    6    7    1    7    10      
Vardas5600     Pavarde5600    4    5    7    10   1    3       
Vardas5601     Pavarde5601    2    3    1    10   4    2       
Vardas5602     Pavarde5602    10   2    1    2    5    6       
Vardas5603     Pavarde5603    5    3    6    1    1    10      
Vardas5604     Pavarde5604    3    10   3    10   2    5       
Vardas5605     Pavarde5605    1    5    2    2    4    6       
Vardas5606     Pavarde5606    10   7    4    10   1    9       
Vardas5607     Pavarde5607    9    10   7    2    5    6       
Vardas5608     Pavarde5608    4    2    1    7    2    3       
Vardas5609     Pavarde5609    6    8    2    4    8    9       
Vardas5610     Pavarde5610    7    2    3    2    6    10      
Vardas5611     Pavarde5611    9    8    9    3    10   4       
Vardas5612     Pavarde5612    7    2    1    1    3    2       
Vardas5613     Pavarde5613    2    5    9    6    5    3       
Vardas5614     Pavarde5614    7    3    1    8    9    6       
Vardas5615     Pavarde5615    4    8    5    5    2    1       
Vardas5616     Pavarde5616    5    6    6    4    6    4       
Vardas5617     Pavarde5617    9    1    1    6    7    7       
Vardas5618     Pavarde5618    4    6    8    9    10   2       
Vardas5619     Pavarde5619    6    9    8    8    9    4       
Vardas5620     Pavarde5620    10   7    5    6    5    9       
Vardas5621     Pavarde5621    7    10   5    9    7    6       
Vardas5622     Pavarde5622    4    1    7    7    3    2       
Vardas5623     Pavarde5623    6    3    3    1    10   8       
Vardas5624     Pavarde5624    3    3    7    5    6    5       
Vardas5625     Pavarde5625    1    3    7    8    3    7       
Vardas5626     Pavarde5626    1    10   2    9    3    4       
Vardas5627     Pavarde5627    3    4    2    7    5    10      
Vardas5628     Pavarde5628    4    3    2    9    10   7       
Vardas5629     Pavarde5629    1    8    1    7    4    9       
Vardas5630     Pavarde5630    2    4    9    6    8    6       
Vardas5631     Pavarde5631    7    2    1    5    4    4       
Vardas5632     Pavarde5632    6    2    8    2    10   1       
Vardas5633     Pavarde5633    10   8    10   6    1    2       
Vardas5634     Pavarde5634    1    5    1    5    9    3       
Vardas5635     Pavarde5635    6    4    8    4    4    1       
Vardas5636     Pavarde5636    7    8    5    5    5    6       
Vardas5637     Pavarde5637    1    5    3    10   1    4       
Vardas5638     Pavarde5638    2    4    8    4    10   7       
Vardas5639     Pavarde5639    8    2    2    8    9    10      
Vardas5640     Pavarde5640    5    7    5    10   4    3       
Vardas5641     Pavarde5641    5    9    6    3    9    2       
Vardas5642     Pavarde5642    4    4    8    1    10   9       
Vardas5643     Pavarde5643    1    6    6    3    6    8       
Vardas5644     Pavarde5644    10   9    10   8    4    1       
Vardas5645     Pavarde5645    7    5    1    6    6    4       
Vardas5646     Pavarde5646    1    3    6    4    4    6       
Vardas5647     Pavarde5647    3    1    2    1    8    10      
Vardas5648     Pavarde5648    6    1    3    9    3    7       
Vardas5649     Pavarde5649    4    5    8    3    4    7       
Vardas5650     Pavarde5650    10   9    6    3    5    5       
Vardas5651     Pavarde5651    2    3    1    7    9    2       
Vardas5652     Pavarde5652    6    2    8    2    3    10      
Vardas5653     Pavarde5653    1    6    6    3    1    7       
Vardas5654     Pavarde5654    9    4    3    10   3    4       
Vardas5655     Pavarde5655    3    7    2    6    1    1       
Vardas5656     Pavarde5656    1    7    9    1    6    4       
Vardas5657     Pavarde5657    9    7    8    4    2    3       
Vardas5658     Pavarde5658    8    2    4    5    6    1       
Vardas5659     Pavarde5659    5    5    2    7    8    1       
Vardas5660     Pavarde5660    7    9    3    5    10   9       
Vardas5661     Pavarde5661    6    9    8    5    6    1       
Vardas5662     Pavarde5662    7    6    3    7    6    6       
Vardas5663     Pavarde5663    10   9    4    2    4    5       
Vardas5664     Pavarde5664    8    7    7    4    9    3       
Vardas5665     Pavarde5665    9    6    6    3    6    1       
Vardas5666     Pavarde5666    8    5    6    1    1    5       
Vardas5667     Pavarde5667    8    2    2    4    6    4       
Vardas5668     Pavarde5668    7    9    5    10   1    5       
Vardas5669     Pavarde5669    5    10   5    4    9    9       
Vardas5670     Pavarde5670    7    5    3    6    9    1       
Vardas5671     Pavarde5671    9    2    7    7    10   2       
Vardas5672     Pavarde5672    8    2    5    7    8    2       
Vardas5673     Pavarde5673    7    6    1    8    2    5       
Vardas5674     Pavarde5674    9    7    10   8    7    5       
Vardas5675     Pavarde5675    3    1    6    4    9    10      
Vardas5676     Pavarde5676    6    3    1    4    8    10      
Vardas5677     Pavarde5677    6    5    5    3    10   7       
Vardas5678     Pavarde5678    3    2    4    7    10   6       
Vardas5679     Pavarde5679    7    7    5    1    6    4       
Vardas5680     Pavarde5680    1    6    5    6    4    6       
Vardas5681     Pavarde5681    7    6    9    6    10   9       
Vardas5682     Pavarde5682    1    7    9    4    9    3       
Vardas5683     Pavarde5683    2    2    5    7    9    2       
Vardas5684     Pavarde5684    5    8    8    8    3    7       
